"","modgene","modtype","modchr","modstart","modend","modfeature"
"1","PA0004","1","NC_002516.2",4559,4560,"inside"
"2","PA0004","1","NC_002516.2",5607,5608,"inside"
"3","PA0004","1","NC_002516.2",5627,5628,"inside"
"4","PA0016","1","NC_002516.2",18453,18454,"inside"
"5","PA0018","1","NC_002516.2",20924,20925,"inside"
"6","PA0021","1","NC_002516.2",22563,22564,"upstream"
"7","PA0023","1","NC_002516.2",25040,25041,"inside"
"8","PA0028","1","NC_002516.2",29687,29688,"upstream"
"9","PA0030","1","NC_002516.2",33032,33033,"upstream"
"10","PA0036","1","NC_002516.2",38518,38519,"inside"
"11","PA0037","1","NC_002516.2",39604,39605,"inside"
"12","PA0038","1","NC_002516.2",40216,40217,"inside"
"13","PA0041","1","NC_002516.2",43681,43682,"inside"
"14","PA0043","1","NC_002516.2",58175,58176,"inside"
"15","PA0069","1","NC_002516.2",81419,81420,"inside"
"16","PA0069","1","NC_002516.2",81808,81809,"inside"
"17","PA0070","1","NC_002516.2",82468,82469,"inside"
"18","PA0070","1","NC_002516.2",83907,83908,"upstream"
"19","PA0072","1","NC_002516.2",86100,86101,"inside"
"20","PA0076","1","NC_002516.2",92755,92756,"upstream"
"21","PA0077","1","NC_002516.2",94570,94571,"inside"
"22","PA0081","1","NC_002516.2",99935,99936,"upstream"
"23","PA0082","1","NC_002516.2",100066,100067,"upstream"
"24","PA0084","1","NC_002516.2",101952,101953,"inside"
"25","PA0085","1","NC_002516.2",102683,102684,"upstream"
"26","PA0085","1","NC_002516.2",103373,103374,"inside"
"27","PA0086","1","NC_002516.2",104339,104340,"inside"
"28","PA0087","1","NC_002516.2",104616,104617,"upstream"
"29","PA0089","1","NC_002516.2",106926,106927,"upstream"
"30","PA0090","1","NC_002516.2",108161,108162,"upstream"
"31","PA0092","1","NC_002516.2",112676,112677,"downstream"
"32","PA0096","1","NC_002516.2",117368,117369,"upstream"
"33","PA0101","1","NC_002516.2",121931,121932,"upstream"
"34","PA0103","1","NC_002516.2",125734,125735,"inside"
"35","PA0106","1","NC_002516.2",129133,129134,"inside"
"36","PA0108","1","NC_002516.2",130823,130824,"inside"
"37","PA0113","1","NC_002516.2",133976,133977,"upstream"
"38","PA0117","1","NC_002516.2",137502,137503,"inside"
"39","PA0119","1","NC_002516.2",138898,138899,"inside"
"40","PA0120","1","NC_002516.2",139826,139827,"upstream"
"41","PA0120","1","NC_002516.2",140003,140004,"upstream"
"42","PA0121","1","NC_002516.2",141143,141144,"inside"
"43","PA0128","1","NC_002516.2",146050,146051,"downstream"
"44","PA0130","1","NC_002516.2",148639,148640,"inside"
"45","PA0132","1","NC_002516.2",150331,150332,"inside"
"46","PA0137","1","NC_002516.2",155796,155797,"upstream"
"47","PA0140","1","NC_002516.2",158588,158589,"upstream"
"48","PA0140","1","NC_002516.2",158604,158605,"upstream"
"49","PA0140","1","NC_002516.2",159054,159055,"inside"
"50","PA0140","1","NC_002516.2",159227,159228,"inside"
"51","PA0142","1","NC_002516.2",162545,162546,"inside"
"52","PA0143","1","NC_002516.2",164065,164066,"inside"
"53","PA0146","1","NC_002516.2",166083,166084,"inside"
"54","PA0147","1","NC_002516.2",167642,167643,"inside"
"55","PA0148","1","NC_002516.2",168197,168198,"upstream"
"56","PA0151","1","NC_002516.2",171496,171497,"inside"
"57","PA0154","1","NC_002516.2",175755,175756,"inside"
"58","PA0159","1","NC_002516.2",181537,181538,"upstream"
"59","PA0159","1","NC_002516.2",182200,182201,"upstream"
"60","PA0168","1","NC_002516.2",192184,192185,"upstream"
"61","PA0168","1","NC_002516.2",192248,192249,"upstream"
"62","PA0170","1","NC_002516.2",194052,194053,"inside"
"63","PA0171","1","NC_002516.2",195340,195341,"upstream"
"64","PA0172","1","NC_002516.2",196113,196114,"inside"
"65","PA0175","1","NC_002516.2",199943,199944,"upstream"
"66","PA0177","1","NC_002516.2",202568,202569,"upstream"
"67","PA0177","1","NC_002516.2",202582,202583,"upstream"
"68","PA0178","1","NC_002516.2",203291,203292,"inside"
"69","PA0182","1","NC_002516.2",207422,207423,"inside"
"70","PA0191","1","NC_002516.2",218140,218141,"inside"
"71","PA0195.1","1","NC_002516.2",225429,225430,"inside"
"72","PA0197","1","NC_002516.2",227534,227535,"inside"
"73","PA0199","1","NC_002516.2",229067,229068,"inside"
"74","PA0200","1","NC_002516.2",229401,229402,"downstream"
"75","PA0203","1","NC_002516.2",233184,233185,"upstream"
"76","PA0204","1","NC_002516.2",233984,233985,"upstream"
"77","PA0208","1","NC_002516.2",237244,237245,"inside"
"78","PA0210","1","NC_002516.2",239519,239520,"upstream"
"79","PA0213","1","NC_002516.2",241807,241808,"inside"
"80","PA0214","1","NC_002516.2",242424,242425,"upstream"
"81","PA0214","1","NC_002516.2",242627,242628,"inside"
"82","PA0219","1","NC_002516.2",247334,247335,"inside"
"83","PA0221","1","NC_002516.2",250030,250031,"upstream"
"84","PA0226","1","NC_002516.2",255891,255892,"inside"
"85","PA0230","1","NC_002516.2",260029,260030,"inside"
"86","PA0230","1","NC_002516.2",260177,260178,"inside"
"87","PA0234","1","NC_002516.2",263721,263722,"inside"
"88","PA0235","1","NC_002516.2",266087,266088,"inside"
"89","PA0237","1","NC_002516.2",268166,268167,"inside"
"90","PA0241","1","NC_002516.2",272685,272686,"inside"
"91","PA0255","1","NC_002516.2",287230,287231,"upstream"
"92","PA0257","1","NC_002516.2",289243,289244,"upstream"
"93","PA0266","1","NC_002516.2",301283,301284,"inside"
"94","PA0266","1","NC_002516.2",301406,301407,"inside"
"95","PA0269","1","NC_002516.2",305826,305827,"inside"
"96","PA0272","1","NC_002516.2",308068,308069,"upstream"
"97","PA0284","1","NC_002516.2",318997,318998,"upstream"
"98","PA0285","1","NC_002516.2",319836,319837,"inside"
"99","PA0285","1","NC_002516.2",319912,319913,"inside"
"100","PA0287","1","NC_002516.2",322078,322079,"upstream"
"101","PA0287","1","NC_002516.2",322192,322193,"inside"
"102","PA0287","1","NC_002516.2",322648,322649,"inside"
"103","PA0287","1","NC_002516.2",322717,322718,"inside"
"104","PA0288","1","NC_002516.2",324009,324010,"inside"
"105","PA0299","1","NC_002516.2",337265,337266,"inside"
"106","PA0300","1","NC_002516.2",338592,338593,"inside"
"107","PA0302","1","NC_002516.2",340855,340856,"upstream"
"108","PA0304","1","NC_002516.2",343027,343028,"upstream"
"109","PA0304","1","NC_002516.2",343673,343674,"inside"
"110","PA0306a","1","NC_002516.2",348004,348005,"inside"
"111","PA0311","1","NC_002516.2",351857,351858,"inside"
"112","PA0313","1","NC_002516.2",353429,353430,"inside"
"113","PA0315","1","NC_002516.2",355414,355415,"downstream"
"114","PA0321","1","NC_002516.2",360876,360877,"inside"
"115","PA0321","1","NC_002516.2",361562,361563,"upstream"
"116","PA0321","1","NC_002516.2",361806,361807,"upstream"
"117","PA0321","1","NC_002516.2",361811,361812,"upstream"
"118","PA0322","1","NC_002516.2",362406,362407,"inside"
"119","PA0325","1","NC_002516.2",366302,366303,"upstream"
"120","PA0331","1","NC_002516.2",372363,372364,"inside"
"121","PA0337","1","NC_002516.2",379084,379085,"inside"
"122","PA0338","1","NC_002516.2",380220,380221,"upstream"
"123","PA0341","1","NC_002516.2",383987,383988,"inside"
"124","PA0343","1","NC_002516.2",386242,386243,"inside"
"125","PA0351","1","NC_002516.2",395019,395020,"upstream"
"126","PA0363","1","NC_002516.2",407004,407005,"inside"
"127","PA0370","1","NC_002516.2",415074,415075,"upstream"
"128","PA0374","1","NC_002516.2",418279,418280,"upstream"
"129","PA0376","1","NC_002516.2",420281,420282,"upstream"
"130","PA0376","1","NC_002516.2",421051,421052,"inside"
"131","PA0382","1","NC_002516.2",424829,424830,"inside"
"132","PA0385","1","NC_002516.2",427324,427325,"inside"
"133","PA0391","1","NC_002516.2",433607,433608,"inside"
"134","PA0392","1","NC_002516.2",434509,434510,"inside"
"135","PA0395","1","NC_002516.2",437052,437053,"inside"
"136","PA0400","1","NC_002516.2",442104,442105,"inside"
"137","PA0412","1","NC_002516.2",452810,452811,"upstream"
"138","PA0413","1","NC_002516.2",455757,455758,"inside"
"139","PA0413","1","NC_002516.2",456179,456180,"inside"
"140","PA0414","1","NC_002516.2",460466,460467,"upstream"
"141","PA0416","1","NC_002516.2",463065,463066,"upstream"
"142","PA0419","1","NC_002516.2",466841,466842,"upstream"
"143","PA0420","1","NC_002516.2",467593,467594,"inside"
"144","PA0422","1","NC_002516.2",469796,469797,"upstream"
"145","PA0429","1","NC_002516.2",481101,481102,"inside"
"146","PA0431","1","NC_002516.2",483379,483380,"upstream"
"147","PA0437","1","NC_002516.2",490802,490803,"upstream"
"148","PA0439","1","NC_002516.2",492735,492736,"inside"
"149","PA0441","1","NC_002516.2",495986,495987,"inside"
"150","PA0444","1","NC_002516.2",499340,499341,"inside"
"151","PA0445","1","NC_002516.2",501830,501831,"upstream"
"152","PA0447","1","NC_002516.2",503374,503375,"inside"
"153","PA0449","1","NC_002516.2",505085,505086,"inside"
"154","PA0449","1","NC_002516.2",505086,505087,"inside"
"155","PA0449","1","NC_002516.2",505340,505341,"inside"
"156","PA0450","1","NC_002516.2",506178,506179,"inside"
"157","PA0450","1","NC_002516.2",506707,506708,"inside"
"158","PA0450","1","NC_002516.2",506836,506837,"inside"
"159","PA0451a","1","NC_002516.2",511300,511301,"downstream"
"160","PA0458","1","NC_002516.2",517083,517084,"inside"
"161","PA0460","1","NC_002516.2",519636,519637,"upstream"
"162","PA0461","1","NC_002516.2",521756,521757,"inside"
"163","PA0463","1","NC_002516.2",523400,523401,"inside"
"164","PA0464","1","NC_002516.2",523960,523961,"inside"
"165","PA0470","1","NC_002516.2",531266,531267,"inside"
"166","PA0475","1","NC_002516.2",535712,535713,"inside"
"167","PA0475","1","NC_002516.2",536449,536450,"downstream"
"168","PA0481","1","NC_002516.2",541472,541473,"upstream"
"169","PA0491","1","NC_002516.2",551671,551672,"inside"
"170","PA0498","1","NC_002516.2",558261,558262,"inside"
"171","PA0499","1","NC_002516.2",558728,558729,"inside"
"172","PA0499","1","NC_002516.2",558975,558976,"inside"
"173","PA0519","1","NC_002516.2",579514,579515,"inside"
"174","PA0519","1","NC_002516.2",579544,579545,"inside"
"175","PA0521","1","NC_002516.2",581082,581083,"upstream"
"176","PA0524","1","NC_002516.2",582526,582527,"inside"
"177","PA0524","1","NC_002516.2",582989,582990,"inside"
"178","PA0524","1","NC_002516.2",583138,583139,"inside"
"179","PA0544","1","NC_002516.2",601984,601985,"inside"
"180","PA0548","1","NC_002516.2",606795,606796,"inside"
"181","PA0549","1","NC_002516.2",607465,607466,"upstream"
"182","PA0561","1","NC_002516.2",618228,618229,"inside"
"183","PA0562","1","NC_002516.2",619462,619463,"inside"
"184","PA0562","1","NC_002516.2",619835,619836,"inside"
"185","PA0562","1","NC_002516.2",620229,620230,"upstream"
"186","PA0577","1","NC_002516.2",637508,637509,"inside"
"187","PA0577","1","NC_002516.2",637837,637838,"inside"
"188","PA0580","1","NC_002516.2",640072,640073,"inside"
"189","PA0581","1","NC_002516.2",640480,640481,"inside"
"190","PA0584","1","NC_002516.2",642545,642546,"inside"
"191","PA0585","1","NC_002516.2",644052,644053,"upstream"
"192","PA0595","1","NC_002516.2",655348,655349,"inside"
"193","PA0601","1","NC_002516.2",663098,663099,"inside"
"194","PA0602","1","NC_002516.2",663148,663149,"upstream"
"195","PA0602","1","NC_002516.2",663727,663728,"inside"
"196","PA0603","1","NC_002516.2",665004,665005,"inside"
"197","PA0604","1","NC_002516.2",665644,665645,"upstream"
"198","PA0606","1","NC_002516.2",668922,668923,"inside"
"199","PA0607","1","NC_002516.2",669205,669206,"upstream"
"200","PA0609","1","NC_002516.2",670834,670835,"upstream"
"201","PA0610","1","NC_002516.2",673252,673253,"upstream"
"202","PA0612","1","NC_002516.2",674435,674436,"inside"
"203","PA0615","1","NC_002516.2",675844,675845,"upstream"
"204","PA0620","1","NC_002516.2",678625,678626,"upstream"
"205","PA0620","1","NC_002516.2",678966,678967,"inside"
"206","PA0623","1","NC_002516.2",682068,682069,"upstream"
"207","PA0624","1","NC_002516.2",682992,682993,"upstream"
"208","PA0624","1","NC_002516.2",683019,683020,"upstream"
"209","PA0628","1","NC_002516.2",687080,687081,"inside"
"210","PA0628","1","NC_002516.2",687367,687368,"inside"
"211","PA0636","1","NC_002516.2",691536,691537,"inside"
"212","PA0637","1","NC_002516.2",692068,692069,"upstream"
"213","PA0648","1","NC_002516.2",703106,703107,"downstream"
"214","PA0650","1","NC_002516.2",703795,703796,"upstream"
"215","PA0652","1","NC_002516.2",705965,705966,"downstream"
"216","PA0654","1","NC_002516.2",707932,707933,"inside"
"217","PA0663","1","NC_002516.2",715691,715692,"upstream"
"218","PA0664","1","NC_002516.2",716800,716801,"inside"
"219","PA0668.4","1","NC_002516.2",724010,724011,"upstream"
"220","PA0668.5","1","NC_002516.2",728210,728211,"downstream"
"221","PA0669","1","NC_002516.2",729155,729156,"inside"
"222","PA0669","1","NC_002516.2",729336,729337,"inside"
"223","PA0678","1","NC_002516.2",737581,737582,"upstream"
"224","PA0686","1","NC_002516.2",743388,743389,"upstream"
"225","PA0687","1","NC_002516.2",745305,745306,"upstream"
"226","PA0688","1","NC_002516.2",747934,747935,"inside"
"227","PA0690","1","NC_002516.2",754309,754310,"inside"
"228","PA0690","1","NC_002516.2",754802,754803,"inside"
"229","PA0693","1","NC_002516.2",765342,765343,"inside"
"230","PA0694","1","NC_002516.2",767371,767372,"inside"
"231","PA0702","1","NC_002516.2",775541,775542,"upstream"
"232","PA0712","1","NC_002516.2",783745,783746,"inside"
"233","PA0735","1","NC_002516.2",803133,803134,"upstream"
"234","PA0740","1","NC_002516.2",807573,807574,"inside"
"235","PA0741","1","NC_002516.2",808615,808616,"downstream"
"236","PA0752","1","NC_002516.2",821310,821311,"inside"
"237","PA0754","1","NC_002516.2",822370,822371,"inside"
"238","PA0755","1","NC_002516.2",824262,824263,"upstream"
"239","PA0756","1","NC_002516.2",824552,824553,"inside"
"240","PA0757","1","NC_002516.2",825664,825665,"inside"
"241","PA0758","1","NC_002516.2",826701,826702,"inside"
"242","PA0758","1","NC_002516.2",826963,826964,"inside"
"243","PA0761","1","NC_002516.2",829976,829977,"inside"
"244","PA0767","1","NC_002516.2",835172,835173,"upstream"
"245","PA0768","1","NC_002516.2",836671,836672,"upstream"
"246","PA0768","1","NC_002516.2",836898,836899,"upstream"
"247","PA0771","1","NC_002516.2",839700,839701,"inside"
"248","PA0779","1","NC_002516.2",847115,847116,"inside"
"249","PA0783","1","NC_002516.2",854012,854013,"upstream"
"250","PA0783","1","NC_002516.2",856111,856112,"inside"
"251","PA0788","1","NC_002516.2",862703,862704,"inside"
"252","PA0789","1","NC_002516.2",864577,864578,"inside"
"253","PA0790","1","NC_002516.2",865717,865718,"inside"
"254","PA0792","1","NC_002516.2",869006,869007,"upstream"
"255","PA0792","1","NC_002516.2",869298,869299,"upstream"
"256","PA0793","1","NC_002516.2",870450,870451,"upstream"
"257","PA0794","1","NC_002516.2",872985,872986,"upstream"
"258","PA0796","1","NC_002516.2",874876,874877,"inside"
"259","PA0798","1","NC_002516.2",876165,876166,"inside"
"260","PA0799","1","NC_002516.2",878369,878370,"inside"
"261","PA0801","1","NC_002516.2",880150,880151,"inside"
"262","PA0802","1","NC_002516.2",881259,881260,"inside"
"263","PA0808","1","NC_002516.2",885531,885532,"upstream"
"264","PA0809","1","NC_002516.2",886659,886660,"inside"
"265","PA0809","1","NC_002516.2",886827,886828,"inside"
"266","PA0810","1","NC_002516.2",888795,888796,"upstream"
"267","PA0823","1","NC_002516.2",899195,899196,"upstream"
"268","PA0830","1","NC_002516.2",905535,905536,"inside"
"269","PA0832","1","NC_002516.2",906492,906493,"upstream"
"270","PA0832","1","NC_002516.2",906759,906760,"upstream"
"271","PA0844","1","NC_002516.2",921846,921847,"upstream"
"272","PA0845","1","NC_002516.2",924276,924277,"upstream"
"273","PA0846","1","NC_002516.2",925812,925813,"upstream"
"274","PA0852","1","NC_002516.2",931260,931261,"inside"
"275","PA0852","1","NC_002516.2",931338,931339,"inside"
"276","PA0860","1","NC_002516.2",938715,938716,"inside"
"277","PA0860","1","NC_002516.2",938958,938959,"inside"
"278","PA0870","1","NC_002516.2",951760,951761,"inside"
"279","PA0879","1","NC_002516.2",961921,961922,"inside"
"280","PA0882","1","NC_002516.2",963845,963846,"upstream"
"281","PA0886","1","NC_002516.2",968217,968218,"inside"
"282","PA0886","1","NC_002516.2",968768,968769,"inside"
"283","PA0891","1","NC_002516.2",974811,974812,"inside"
"284","PA0898","1","NC_002516.2",981022,981023,"upstream"
"285","PA0898","1","NC_002516.2",981146,981147,"upstream"
"286","PA0899","1","NC_002516.2",982481,982482,"upstream"
"287","PA0899","1","NC_002516.2",982877,982878,"upstream"
"288","PA0901","1","NC_002516.2",984609,984610,"inside"
"289","PA0901","1","NC_002516.2",984764,984765,"inside"
"290","PA0904","1","NC_002516.2",990225,990226,"inside"
"291","PA0915","1","NC_002516.2",998607,998608,"upstream"
"292","PA0918","1","NC_002516.2",1002447,1002448,"inside"
"293","PA0924","1","NC_002516.2",1010121,1010122,"inside"
"294","PA0927","1","NC_002516.2",1013437,1013438,"upstream"
"295","PA0935","1","NC_002516.2",1024855,1024856,"upstream"
"296","PA0936","1","NC_002516.2",1026311,1026312,"inside"
"297","PA0938","1","NC_002516.2",1027941,1027942,"upstream"
"298","PA0952","1","NC_002516.2",1039607,1039608,"inside"
"299","PA0970","1","NC_002516.2",1054417,1054418,"upstream"
"300","PA0978","1","NC_002516.2",1062072,1062073,"upstream"
"301","PA0981","1","NC_002516.2",1063776,1063777,"downstream"
"302","PA0982","1","NC_002516.2",1064561,1064562,"inside"
"303","PA0982","1","NC_002516.2",1064770,1064771,"inside"
"304","PA0995","1","NC_002516.2",1077297,1077298,"downstream"
"305","PA1004","1","NC_002516.2",1088134,1088135,"inside"
"306","PA1005","1","NC_002516.2",1090197,1090198,"inside"
"307","PA1013","1","NC_002516.2",1096127,1096128,"inside"
"308","PA1019","1","NC_002516.2",1104068,1104069,"inside"
"309","PA1019","1","NC_002516.2",1104350,1104351,"inside"
"310","PA1019a","1","NC_002516.2",1104903,1104904,"upstream"
"311","PA1020","1","NC_002516.2",1105703,1105704,"upstream"
"312","PA1021","1","NC_002516.2",1107290,1107291,"inside"
"313","PA1026","1","NC_002516.2",1112168,1112169,"downstream"
"314","PA1028","1","NC_002516.2",1114535,1114536,"upstream"
"315","PA1032","1","NC_002516.2",1121082,1121083,"inside"
"316","PA1032","1","NC_002516.2",1121197,1121198,"inside"
"317","PA1036","1","NC_002516.2",1124368,1124369,"inside"
"318","PA1037","1","NC_002516.2",1125362,1125363,"inside"
"319","PA1044","1","NC_002516.2",1129125,1129126,"inside"
"320","PA1046","1","NC_002516.2",1132343,1132344,"inside"
"321","PA1047","1","NC_002516.2",1134560,1134561,"inside"
"322","PA1051","1","NC_002516.2",1138623,1138624,"inside"
"323","PA1054","1","NC_002516.2",1141666,1141667,"upstream"
"324","PA1055","1","NC_002516.2",1143950,1143951,"upstream"
"325","PA1055","1","NC_002516.2",1144319,1144320,"upstream"
